iter	Passed	Remaining
0	5	5392
1	9	4840
2	13	4611
3	18	4632
4	23	4687
5	28	4659
6	32	4598
7	37	4663
8	41	4593
9	47	4679
10	52	4738
11	57	4729
12	61	4700
13	66	4662
14	71	4683
15	75	4650
16	79	4616
17	84	4625
18	89	4637
19	94	4617
20	98	4596
21	103	4619
22	108	4589
23	112	4563
24	117	4576
25	121	4565
26	126	4550
27	130	4534
28	136	4566
29	140	4550
30	145	4545
31	150	4556
32	155	4545
33	159	4535
34	165	4549
35	169	4534
36	174	4537
37	178	4531
38	184	4540
39	188	4524
40	192	4514
41	197	4511
42	202	4504
43	206	4490
44	210	4477
45	217	4516
46	222	4506
47	226	4496
48	231	4498
49	236	4491
50	240	4479
51	246	4490
52	250	4481
53	255	4476
54	260	4467
55	265	4483
56	270	4477
57	274	4463
58	279	4464
59	284	4451
60	288	4442
61	293	4434
62	297	4430
63	302	4423
64	307	4416
65	312	4417
66	316	4408
67	320	4394
68	324	4384
69	330	4386
70	334	4381
71	339	4378
72	345	4387
73	349	4377
74	353	4365
75	358	4362
76	363	4355
77	367	4347
78	371	4336
79	377	4336
80	381	4329
81	385	4320
82	390	4315
83	395	4314
84	399	4302
85	403	4293
86	409	4296
87	413	4287
88	418	4283
89	424	4287
90	429	4285
91	433	4278
92	437	4269
93	442	4265
94	446	4255
95	451	4248
96	455	4240
97	460	4234
98	464	4230
99	469	4221
100	474	4223
101	479	4217
102	483	4210
103	488	4206
104	493	4202
105	497	4193
106	501	4183
107	506	4182
108	510	4177
109	515	4169
110	520	4167
111	525	4166
112	530	4160
113	534	4153
114	539	4151
115	543	4143
116	549	4147
117	558	4177
118	569	4218
119	579	4246
120	589	4281
121	596	4293
122	606	4321
123	614	4339
124	622	4358
125	629	4365
126	636	4377
127	643	4385
128	650	4390
129	658	4404
130	664	4405
131	670	4408
132	675	4403
133	680	4399
134	685	4394
135	690	4385
136	695	4378
137	698	4364
138	703	4356
139	707	4347
140	712	4341
141	718	4340
142	722	4329
143	726	4320
144	731	4311
145	735	4302
146	740	4294
147	744	4285
148	749	4282
149	754	4274
150	759	4267
151	765	4271
152	770	4265
153	775	4260
154	779	4246
155	783	4241
156	788	4233
157	792	4225
158	798	4221
159	802	4214
160	807	4207
161	812	4200
162	816	4195
163	821	4185
164	825	4177
165	830	4172
166	834	4163
167	838	4153
168	844	4152
169	849	4147
170	854	4140
171	859	4137
172	863	4129
173	868	4121
174	872	4113
175	878	4114
176	882	4105
177	887	4096
178	893	4095
179	901	4106
180	908	4111
181	915	4113
182	921	4114
183	929	4123
184	935	4121
185	942	4124
186	948	4124
187	953	4116
188	960	4123
189	966	4119
190	970	4111
191	976	4109
192	981	4101
193	985	4094
194	990	4087
195	996	4085
196	1001	4080
197	1007	4079
198	1013	4078
199	1019	4076
200	1026	4081
201	1032	4080
202	1040	4084
203	1046	4084
204	1054	4087
205	1061	4091
206	1068	4093
207	1075	4096
208	1083	4099
209	1089	4097
210	1095	4096
211	1102	4097
212	1109	4097
213	1116	4099
214	1124	4106
215	1131	4105
216	1139	4111
217	1146	4113
218	1155	4121
219	1162	4122
220	1170	4126
221	1177	4126
222	1185	4129
223	1191	4127
224	1198	4129
225	1206	4131
226	1213	4130
227	1222	4139
228	1230	4141
229	1238	4147
230	1246	4148
231	1254	4152
232	1260	4149
233	1265	4143
234	1270	4136
235	1274	4126
236	1278	4116
237	1284	4111
238	1288	4103
239	1292	4093
240	1297	4086
241	1301	4077
242	1306	4070
243	1311	4062
244	1316	4058
245	1320	4048
246	1325	4039
247	1329	4032
248	1334	4023
249	1338	4015
250	1342	4006
251	1348	4001
252	1352	3993
253	1357	3986
254	1362	3981
255	1367	3974
256	1372	3966
257	1376	3959
258	1381	3953
259	1388	3950
260	1395	3949
261	1402	3950
262	1409	3948
263	1414	3942
264	1420	3939
265	1425	3933
266	1430	3927
267	1434	3919
268	1439	3912
269	1445	3908
270	1450	3902
271	1455	3894
272	1461	3891
273	1466	3885
274	1470	3877
275	1476	3871
276	1480	3864
277	1484	3856
278	1489	3849
279	1493	3839
280	1498	3834
281	1502	3826
282	1508	3821
283	1512	3814
284	1517	3806
285	1521	3798
286	1526	3791
287	1530	3783
288	1534	3776
289	1539	3770
290	1546	3768
291	1551	3761
292	1557	3757
293	1562	3752
294	1568	3747
295	1576	3748
296	1581	3744
297	1586	3738
298	1593	3735
299	1599	3733
300	1608	3735
301	1615	3734
302	1623	3735
303	1630	3732
304	1635	3727
305	1640	3721
306	1645	3714
307	1649	3706
308	1654	3700
309	1658	3692
310	1662	3684
311	1667	3676
312	1670	3666
313	1675	3659
314	1679	3652
315	1684	3646
316	1689	3639
317	1693	3631
318	1697	3624
319	1703	3619
320	1707	3612
321	1711	3604
322	1716	3597
323	1721	3591
324	1725	3583
325	1729	3576
326	1736	3572
327	1740	3565
328	1744	3558
329	1749	3552
330	1754	3546
331	1759	3539
332	1764	3533
333	1768	3526
334	1772	3519
335	1777	3512
336	1782	3506
337	1786	3499
338	1790	3491
339	1795	3485
340	1800	3480
341	1804	3472
342	1809	3465
343	1814	3459
344	1818	3452
345	1822	3444
346	1826	3437
347	1831	3432
348	1835	3422
349	1839	3416
350	1843	3409
351	1848	3403
352	1852	3395
353	1856	3387
354	1861	3381
355	1865	3374
356	1869	3367
357	1871	3356
358	1876	3349
359	1880	3343
360	1885	3337
361	1889	3330
362	1895	3325
363	1900	3319
364	1903	3311
365	1907	3305
366	1912	3298
367	1916	3291
368	1921	3285
369	1926	3280
370	1931	3275
371	1935	3268
372	1940	3262
373	1945	3257
374	1950	3250
375	1954	3243
376	1959	3237
377	1963	3231
378	1967	3224
379	1972	3217
380	1977	3212
381	1982	3207
382	1986	3200
383	1991	3195
384	1996	3189
385	2000	3182
386	2005	3177
387	2010	3170
388	2014	3164
389	2018	3157
390	2024	3152
391	2028	3146
392	2032	3139
393	2036	3131
394	2041	3126
395	2046	3120
396	2050	3114
397	2054	3108
398	2058	3101
399	2062	3093
400	2066	3087
401	2071	3080
402	2075	3074
403	2078	3066
404	2083	3060
405	2088	3055
406	2093	3049
407	2097	3043
408	2102	3037
409	2105	3030
410	2110	3024
411	2114	3018
412	2119	3012
413	2123	3005
414	2127	2999
415	2132	2993
416	2137	2988
417	2141	2981
418	2145	2975
419	2150	2969
420	2155	2963
421	2158	2957
422	2163	2950
423	2167	2944
424	2171	2937
425	2173	2928
426	2177	2922
427	2182	2917
428	2187	2911
429	2192	2905
430	2196	2899
431	2201	2894
432	2205	2887
433	2209	2880
434	2213	2874
435	2217	2868
